year,month,asset,market,expected_mwh,peak_mwh,off_mwh,peak_pct,off_pct
2029,1,Valentino,ERCOT,13963.566666666666,6684.733333333334,7278.833333333333,0.4787267818394059,0.5212732181605941
2029,2,Valentino,ERCOT,11551.21882352941,6114.738823529412,5436.48,0.5293587557248861,0.47064124427511395
2029,3,Valentino,ERCOT,16110.487213997309,8193.31251682369,7917.17469717362,0.5085701262780604,0.49142987372193964
2029,4,Valentino,ERCOT,14327.766666666666,7747.566666666667,6580.199999999999,0.5407379144923726,0.4592620855076273
2029,5,Valentino,ERCOT,18214.2,8871.866666666667,9342.333333333334,0.48708516798248985,0.5129148320175102
2029,6,Valentino,ERCOT,20791.933333333334,10613.166666666668,10178.766666666666,0.510446359004614,0.489553640995386
2029,7,Valentino,ERCOT,21420.633333333335,11205.333333333334,10215.300000000001,0.5231093385038413,0.4768906614961587
2029,8,Valentino,ERCOT,15356.1,8544.433333333332,6811.666666666666,0.556419490191737,0.4435805098082629
2029,9,Valentino,ERCOT,10010.166666666666,5408.333333333333,4601.833333333333,0.5402840445547027,0.4597159554452973
2029,10,Valentino,ERCOT,12738.266666666668,6244.966666666668,6493.300000000001,0.4902524676303422,0.5097475323696579
2029,11,Valentino,ERCOT,15028.460471567269,7386.973647711513,7641.486823855756,0.4915322937893152,0.5084677062106848
2029,12,Valentino,ERCOT,11914.233333333332,6073.666666666666,5840.566666666667,0.5097824171089481,0.49021758289105194
2030,1,Valentino,ERCOT,13963.566666666666,6684.733333333334,7278.833333333333,0.4787267818394059,0.5212732181605941
2030,2,Valentino,ERCOT,11551.21882352941,6114.738823529412,5436.48,0.5293587557248861,0.47064124427511395
2030,3,Valentino,ERCOT,16110.487213997309,8193.31251682369,7917.17469717362,0.5085701262780604,0.49142987372193964
2030,4,Valentino,ERCOT,14327.766666666666,7747.566666666667,6580.199999999999,0.5407379144923726,0.4592620855076273
2030,5,Valentino,ERCOT,18214.2,8871.866666666667,9342.333333333334,0.48708516798248985,0.5129148320175102
2030,6,Valentino,ERCOT,20791.933333333334,10613.166666666668,10178.766666666666,0.510446359004614,0.489553640995386
2030,7,Valentino,ERCOT,21420.633333333335,11205.333333333334,10215.300000000001,0.5231093385038413,0.4768906614961587
2030,8,Valentino,ERCOT,15356.1,8544.433333333332,6811.666666666666,0.556419490191737,0.4435805098082629
2030,9,Valentino,ERCOT,10010.166666666666,5408.333333333333,4601.833333333333,0.5402840445547027,0.4597159554452973
2030,10,Valentino,ERCOT,12738.266666666668,6244.966666666668,6493.300000000001,0.4902524676303422,0.5097475323696579
2030,11,Valentino,ERCOT,15028.460471567269,7386.973647711513,7641.486823855756,0.4915322937893152,0.5084677062106848
2030,12,Valentino,ERCOT,11914.233333333332,6073.666666666666,5840.566666666667,0.5097824171089481,0.49021758289105194
